System_ID,System_Type,Location,Stack_Direction,System_Name,Category,#,Layer,Material,Thickness_in,Approx_R_Value,Connection,Fastener,Fastener_Size,Layer_Type,Fill,Fastener_Icon,Fastener_Spacing_OC_in,Min_Edge_Dist_in,Min_End_Dist_in,Fastener_Pattern,Typ_Module_Width_in,Element_Spacing_OC_in,Cavity_Depth_in,Control_Joint_Spacing_ft,Draw_Module_Joints,Draw_Control_Joints,Draw_Fastener_Graphics,Detail_Max_Module_Joints,Detail_Min_Feature_Px,Config_Key,Config_Value,Sheet_Order,Diagram_Detail_Level,Diagram_Label,Diagram_Hatch,Diagram_Section_Zones_JSON,Diagram_Plan_Zones_JSON,View_Orientation,View_Reverse,View_Top_Label,View_Bottom_Label,Drawing_Note,Plan_Draw_Layers,Plan_Implementation_Grid_in
BLD,building_dimensions,,,Building Dimensions,,1,Footprint Width (interior),—,360,0,—,—,—,MISC,MISC,,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,Interior width between CLT faces for section/plan,,
BLD,building_dimensions,,,Building Dimensions,,2,Footprint Depth,—,480,0,—,—,—,MISC,MISC,,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,Building depth N-S for plan,,
BLD,building_dimensions,,,Building Dimensions,,3,Floor to Floor Height,—,132,0,—,—,—,MISC,MISC,,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,11 ft floor-to-floor,,
BLD,building_dimensions,,,Building Dimensions,,4,Void Clear Width,—,53,0,—,—,—,MISC,MISC,,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,"Courtyard void clear opening ~4'-5""",,
BLD,building_dimensions,,,Building Dimensions,,5,Stair Width,—,48,0,—,—,—,MISC,MISC,,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,"Stair shaft width 4'-0""",,
BLD,building_dimensions,,,Building Dimensions,,6,Section Scale px/in,—,1.4,0,—,—,—,MISC,MISC,,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,Pixels per inch for section drawing,,
BLD,building_dimensions,,,Building Dimensions,,7,Plan Scale px/in,—,1.2,0,—,—,—,MISC,MISC,,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,Pixels per inch for plan drawing,,
BLD,building_dimensions,,,Building Dimensions,,8,Diagram Section Ref Width,—,618,0,,,,MISC,MISC,none,,,,,,,,,,,,,,,,,,,,,,,,,,Reference inner section width (px) for normalized zones,,
BLD,building_dimensions,,,Building Dimensions,,9,Diagram Section Ref Height,—,700,0,,,,MISC,MISC,none,,,,,,,,,,,,,,,,,,,,,,,,,,Reference inner section height (px),,
BLD,building_dimensions,,,Building Dimensions,,10,Plan Ref Width,—,432,0,,,,MISC,MISC,none,,,,,,,,,,,,,,,,,,,,,,,,,,Reference plan width (px),,
BLD,building_dimensions,,,Building Dimensions,,11,Plan Ref Height,—,576,0,,,,MISC,MISC,none,,,,,,,,,,,,,,,,,,,,,,,,,,Reference plan height (px),,
BLD,building_dimensions,,,Building Dimensions,,12,Configuration,—,0,0,,,,MISC,MISC,none,,,,,,,,,,,,,,exterior_wall_assembly,A4-06,,,,,,,,,,,Schematic primary wall thickness,,
BLD,building_dimensions,,,Building Dimensions,,13,Configuration,—,0,0,,,,MISC,MISC,none,,,,,,,,,,,,,,structural_clt_core,A4-04,,,,,,,,,,,Core CLT strip in section,,
BLD,building_dimensions,,,Building Dimensions,,14,Configuration,—,0,0,,,,MISC,MISC,none,,,,,,,,,,,,,,interior_partition,A4-10,,,,,,,,,,,Partition thickness,,
BLD,building_dimensions,,,Building Dimensions,,15,Configuration,—,0,0,,,,MISC,MISC,none,,,,,,,,,,,,,,balcony_assembly,A4-14,,,,,,,,,,,Balcony assembly thickness,,
BLD,building_dimensions,,,Building Dimensions,,16,Configuration,—,0,0,,,,MISC,MISC,none,,,,,,,,,,,,,,system_id_prefix,A4-,,,,,,,,,,,Prefix for new system IDs in editor,,
BLD,building_dimensions,,,Building Dimensions,,17,Configuration,—,0,0,,,,MISC,MISC,none,,,,,,,,,,,,,,default_diagram_detail_level,1,,,,,,,,,,,Default section diagram detail preset (0–3),,
BLD,building_dimensions,,,Building Dimensions,,18,Configuration,—,0,0,,,,MISC,MISC,none,,,,,,,,,,,,,,detail_max_module_joints,12,,,,,,,,,,,Max module crease segments per layer,,
BLD,building_dimensions,,,Building Dimensions,,19,Configuration,—,0,0,,,,MISC,MISC,none,,,,,,,,,,,,,,detail_min_feature_px,8,,,,,,,,,,,Min layer size (px) for creases and shop extras,,
BLD,building_dimensions,,,Building Dimensions,,20,Configuration,—,0,0,,,,MISC,MISC,none,,,,,,,,,,,,,,shop_max_fastener_marks_per_layer,8,,,,,,,,,,,Cap on repeated fastener marks at shop detail level,,
BLD,building_dimensions,,,Building Dimensions,,21,Configuration,—,0,0,,,,MISC,MISC,none,,,,,,,,,,,,,,clt_structural_ply,5,,,,,,,,,,,Typ. 5-ply CLT for all structural floor roof wall and shaft panels unless a layer states otherwise,,
